iter	Passed	Remaining
0	169	168943
1	187	93789
2	204	67991
3	218	54498
4	229	45665
5	238	39485
6	247	35115
7	255	31714
8	265	29273
9	274	27200
10	283	25497
11	292	24071
12	301	22869
13	310	21842
14	318	20907
15	327	20131
16	336	19477
17	344	18792
18	353	18240
19	364	17842
20	372	17384
21	382	16983
22	391	16624
23	402	16351
24	411	16065
25	421	15799
26	431	15533
27	440	15285
28	450	15078
29	460	14879
30	470	14692
31	479	14509
32	488	14316
33	499	14194
34	509	14058
35	519	13899
36	528	13745
37	541	13709
38	582	14362
39	600	14401
40	611	14313
41	622	14201
42	633	14088
43	644	13998
44	654	13886
45	663	13765
46	673	13661
47	684	13579
48	696	13511
49	706	13423
50	716	13336
51	727	13257
52	738	13191
53	750	13144
54	760	13065
55	770	12994
56	781	12928
57	794	12895
58	804	12833
59	815	12770
60	824	12691
61	833	12612
62	845	12571
63	856	12522
64	866	12467
65	876	12402
66	887	12356
67	898	12315
68	910	12278
69	919	12219
70	930	12171
71	940	12117
72	950	12075
73	960	12018
74	970	11965
75	981	11929
76	993	11914
77	1004	11875
78	1016	11851
79	1026	11803
80	1038	11782
81	1050	11761
82	1062	11734
83	1073	11701
84	1083	11667
85	1092	11615
86	1104	11585
87	1113	11540
88	1122	11492
89	1131	11441
90	1142	11415
91	1152	11375
92	1162	11334
93	1171	11291
94	1181	11258
95	1192	11231
96	1204	11208
97	1214	11181
98	1225	11156
99	1237	11136
100	1247	11106
101	1258	11075
102	1267	11041
103	1275	10986
104	1285	10960
105	1296	10937
106	1307	10909
107	1316	10870
108	1325	10837
109	1335	10808
110	1346	10787
111	1356	10757
112	1365	10720
113	1375	10693
114	1386	10671
115	1397	10649
116	1406	10617
117	1414	10575
118	1425	10552
119	1436	10537
120	1447	10516
121	1457	10491
122	1466	10459
123	1477	10438
124	1488	10417
125	1499	10402
126	1509	10378
127	1519	10353
128	1530	10334
129	1542	10320
130	1553	10304
131	1563	10282
132	1573	10256
133	1584	10237
134	1595	10220
135	1603	10186
136	1613	10160
137	1623	10137
138	1634	10123
139	1645	10109
140	1655	10088
141	1664	10057
142	1675	10043
143	1687	10028
144	1698	10013
145	1707	9988
146	1718	9970
147	1730	9959
148	1742	9949
149	1752	9931
150	1760	9899
151	1771	9881
152	1780	9858
153	1791	9842
154	1802	9826
155	1812	9805
156	1823	9790
157	1834	9778
158	1845	9762
159	1856	9745
160	1866	9726
161	1878	9716
162	1889	9702
163	1900	9687
164	1906	9648
165	1917	9632
166	1929	9624
167	1939	9604
168	1950	9593
169	1961	9578
170	1973	9565
171	1985	9556
172	1996	9545
173	2007	9530
174	2015	9502
175	2028	9497
176	2040	9485
177	2051	9473
178	2062	9459
179	2074	9450
180	2086	9441
181	2097	9428
182	2107	9406
183	2118	9396
184	2130	9387
185	2141	9374
186	2152	9360
187	2163	9345
188	2175	9335
189	2186	9320
190	2196	9305
191	2205	9283
192	2216	9268
193	2227	9253
194	2238	9240
195	2248	9222
196	2258	9205
197	2268	9190
198	2280	9178
199	2290	9163
200	2300	9145
201	2311	9131
202	2323	9120
203	2333	9105
204	2343	9089
205	2353	9071
206	2364	9058
207	2375	9045
208	2386	9031
209	2395	9012
210	2404	8990
211	2412	8968
212	2423	8954
213	2433	8939
214	2443	8921
215	2453	8903
216	2463	8890
217	2474	8874
218	2484	8859
219	2494	8844
220	2503	8825
221	2513	8807
222	2523	8792
223	2533	8778
224	2545	8766
225	2555	8750
226	2564	8732
227	2575	8719
228	2585	8706
229	2594	8686
230	2604	8671
231	2615	8658
232	2626	8644
233	2636	8629
234	2645	8611
235	2655	8596
236	2666	8585
237	2676	8570
238	2685	8552
239	2694	8533
240	2704	8517
241	2715	8506
242	2726	8494
243	2736	8479
244	2745	8460
245	2755	8446
246	2767	8435
247	2778	8423
248	2789	8413
249	2799	8397
250	2808	8380
251	2819	8370
252	2831	8359
253	2840	8343
254	2850	8329
255	2862	8320
256	2873	8307
257	2884	8295
258	2893	8278
259	2903	8263
260	2915	8253
261	2925	8241
262	2935	8227
263	2945	8211
264	2956	8199
265	2967	8189
266	2978	8177
267	2988	8162
268	2998	8148
269	3009	8136
270	3020	8125
271	3031	8112
272	3040	8097
273	3052	8086
274	3063	8076
275	3073	8063
276	3083	8047
277	3092	8031
278	3103	8018
279	3113	8006
280	3124	7994
281	3134	7979
282	3143	7964
283	3153	7951
284	3164	7938
285	3174	7926
286	3185	7913
287	3195	7899
288	3207	7890
289	3218	7878
290	3228	7866
291	3239	7853
292	3249	7841
293	3262	7833
294	3273	7823
295	3284	7812
296	3295	7801
297	3308	7793
298	3319	7783
299	3331	7772
300	3342	7761
301	3352	7749
302	3365	7740
303	3376	7731
304	3387	7718
305	3398	7708
306	3411	7700
307	3422	7689
308	3433	7677
309	3444	7666
310	3456	7657
311	3468	7647
312	3479	7636
313	3489	7624
314	3501	7613
315	3512	7603
316	3524	7594
317	3535	7582
318	3546	7571
319	3557	7559
320	3567	7546
321	3577	7532
322	3586	7517
323	3597	7506
324	3608	7495
325	3619	7482
326	3629	7469
327	3640	7458
328	3652	7449
329	3663	7437
330	3673	7424
331	3682	7409
332	3693	7398
333	3706	7389
334	3717	7379
335	3727	7366
336	3737	7352
337	3749	7343
338	3760	7331
339	3771	7320
340	3780	7305
341	3789	7291
342	3800	7279
343	3809	7265
344	3819	7252
